"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"11",460.786,460.194,460.487000000001,459.702000000005,459.798000000003,460.258000000002,459.843000000001,460.878000000005,462.862000000001,462.064999999995,461.639000000003,459.51799999999,461.310999999995,463.113000000005,461.663999999997,460.511999999996,459.938000000002,460.093000000001,461.389000000003,460.352999999981,463.454000000006,460.223000000006,460.794000000002,461.012999999985,459.534000000022,462.181000000019,466.06500000001,460.296999999999,459.361000000012,459.832999999992,459.989,460.806999999999,459.838,472.735000000001,461.716000000001,459.593000000001,461.328999999998,461.385999999999,460.135000000002,460.108000000001,464.384,473.760999999999,460.658,460.355,460.123,462.345000000002,460.898000000001,461.154999999999,461.507999999995,460.158000000003,461.814,462.067000000001,462.211,472.622,461.834000000003,460.585,461.182999999998,463.347000000002,462.723999999995,460.911,461.900000000002,465.96899999999,462.219999999994,461.841000000008,472.118999999999,460.883999999999,463.506000000002,462.300999999985,462.133999999999,462.011000000006,461.682999998659,461.328000000074,462.759999998242,460.903999999493,461.176999999538,463.28000000152,476.185000000849,460.985999999896,461.099999999955,460.495999999672,460.484999999732,461.199999999583,460.708999999195,471.971999999464,461.834999999359,461.382999999776,460.253999999121,460.059999998987,463.109999999732,460.730000000775,460.724000001654,461.230000000775,460.672000000581,461.607999999404,474.007999999776,460.738999998525,465.25899999994,474.037999999106,461.692999998435,462.272000000209
"12",500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
"13",38.8040284943807,39.1323200692858,37.1069612248245,37.4384729402386,38.9187742594724,40.0529210183219,37.7089014714167,39.1502839567057,40.2896556175364,39.5076406646897,38.7047478006582,40.13690168032,37.8725027566428,38.7907446375139,39.6441900490493,40.4729236723895,37.7492476367617,39.7355587354474,39.245902705052,39.5042452003742,39.4313866830947,37.6023887247166,37.8116799361197,39.2180914849006,39.4007163629086,37.308651875114,40.2322069573814,38.4224515071097,39.5011221672834,39.3187552985812,37.8482408050252,40.3305577724985,40.0571883066782,38.947780923378,39.8592224714763,37.397237084262,37.8440363128138,38.2316109567728,37.8491038749293,40.7253823395266,38.3958882278468,37.6374249061811,37.0531673582609,38.7782327159499,40.3984032043545,38.3775385893241,37.0197425082548,39.3819267390029,39.3365165300867,38.0501462369214,40.0299144911706,38.6807859009536,39.6468963111179,38.8972606850511,39.0716015958689,40.6450387890319,39.3736802801408,39.0282326906669,39.1628289115658,37.4633245878547,38.2891184746819,41.6303950933786,39.3099454150452,37.8015262059387,36.6236721411361,39.1792346829812,37.7413065481283,40.1514428681784,38.1860260652676,38.7430726310968,37.9780764964901,37.5287500265214,41.2385861575182,38.7583739538689,36.7000270800342,38.1568985319925,38.8351606764412,39.2017532720865,38.7246843695641,39.5109551553842,40.2118379449003,40.2521233099429,38.5236766987988,38.9012309443118,39.0914122422543,38.1050280766554,37.6818087360144,38.4076780285136,39.9237047771831,38.959743452835,38.0344433789784,38.9678672795328,38.676918955673,39.9856129937029,38.5535577716349,36.9314887924243,38.7638657049965,37.5758207947582,37.2274209864947,37.4811077176231
"14",533.278999999999,530.219000000001,528.539000000005,531.716999999997,533.135000000002,533.292000000002,529.574999999998,533.843000000001,527.283999999993,530.676999999989,535.744999999989,534.108000000001,532.798999999992,535.090999999994,525.801,526.751000000026,525.46,532.733000000015,533.101000000003,533.028999999988,531.798000000018,530.213000000026,532.796999999999,533.88200000002,525.851999999992,529.331000000013,534.954000000006,535.131000000002,529.423000000018,527.646000000016,536.868,526.561,526.856,529.189999999999,531.383000000002,534.221999999995,529.264000000003,531.744999999996,535.456999999988,529.998,533.302,535.431999999999,534.561000000002,527.950000000001,532.005000000005,533.39,525.991000000002,530.335,527.739000000009,526.552999999993,531.691,533.56,531.933999999998,532.177,528.592000000005,528.847000000002,534.099999999999,532.090000000004,526.638999999989,529.886000000006,532.949000000001,530.167999999998,530.672000000014,530.229,527.696999999993,529.072999999997,527.220999999998,530.830999999984,527.713000000026,529.854999999989,533.317000000134,526.029000001356,533.641000001088,535.322999999255,526.454000000238,531.512999998733,534.547999998882,533.426999999538,533.685999999151,534.089000000015,530.811000001013,531.836999999687,526.903999999493,530.648000000373,530.995999999672,529.423000000745,527.609000001431,533.272000000209,530.544000000089,533.860999999896,527.326000001609,534.014999999061,531.690000001669,531.833000000894,529.127999998957,526.944000000462,528.256000001311,526.036000000641,532.469000000835,532.283000000149
"15",1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361
"16",36.1840358951031,35.7801143654587,34.9876392807765,34.6021621947603,35.9943715046094,37.305733898561,34.5146332130465,36.6657044477852,37.3941860426394,37.0629765753138,35.6304666601001,37.2557829405578,35.2264730650523,35.7831724995691,36.3346651973792,37.4061553154397,35.0085205011384,36.6064575034218,36.6229059052621,36.3859219744025,36.6516856705422,34.4409354123726,35.3156395931342,36.3647145238149,36.9965607821229,35.011636269522,37.2590673809398,35.2881613124203,36.6653161118607,35.7908437369129,34.7136143662768,37.686719117344,36.5008784537132,36.1258271038892,36.6857270536041,34.7575080970206,34.8655294219942,35.2183970080841,35.4728723083883,37.3414434375634,35.0139762980383,34.0352882415677,34.3776288283405,35.4394294573623,37.6818911359892,35.0038786606591,34.3825862721406,35.8891448587101,36.5068748012407,35.7504893851289,37.3272791861551,35.1753167420646,36.8883273992044,35.9066820323577,35.6229080970953,37.1261051090632,36.1692145638178,36.4157349912402,36.1342288920476,34.5367208771938,35.3867508307223,38.9381064483486,37.0230606577144,34.6935721476377,33.8603639618329,35.9255579974536,34.4743635747241,36.8546428976392,35.1420020707708,35.9787097097415,35.1491022556045,35.0279481029961,38.1271575627228,35.9053611242551,33.3659055118519,35.1529261680899,35.5645702898879,35.9172136184662,36.2297375257073,36.4522671460757,37.3640530375219,36.9265418088088,35.8441502340967,35.3283049868033,36.3601790267247,35.5373971694151,35.0159341036078,35.3336529508427,37.1483893672055,35.7796570999973,34.6224444868273,36.2281994245644,35.679996877863,36.8789382916771,35.7806217266947,34.3309271921028,35.7518200599662,35.0597028310988,34.4360756000474,35.0869659483939
"17",561.862999999998,563.891,568.222000000002,562.591000000001,563.207999999999,559.307000000001,566.812000000006,562.375000000008,561.777999999999,563.711000000003,565.330999999999,559.635000000002,563.985000000008,563.317000000003,558.200000000005,561.239999999998,563.539999999987,567.537000000019,563.147000000005,565.737000000001,561.945000000015,557.364999999998,562.394999999997,560.381000000002,563.63299999998,560.978000000011,559.231000000007,565.561999999984,561.897000000005,558.716999999983,570.856,559.469,560.375999999997,562.119999999999,561.279000000003,558.591999999997,563.89,566.903999999995,561.552000000004,560.514999999993,565.289,560.562,561.200999999998,559.855,566.811999999999,571.142999999997,558.947000000001,563.674,561.738999999995,561.961000000003,565.331,558.353,558.916000000002,563.964,562.682999999998,562.543000000006,563.799999999996,563.646000000001,560.851000000003,564.642,569.901000000006,560.773000000009,559.319000000011,566.046999999999,567.440999999999,561.152999999999,568.094000000005,562.063000000002,560.598000000006,562.810000000005,565.506999999613,558.879999999285,565.76199999857,561.036000000641,557.969000000835,561.240000000551,560.211999999687,567.762999998733,561.996999999836,565.900999999002,561.123,564.387000000432,560.684000000686,568.287999999106,564.480000000775,561.456000000566,566.209999999359,558.352000000283,564.9000000007,561.462999999851,561.442999998435,565.442000000134,562.947000000954,563.746000001535,564.464000000015,565.409000000313,563.86200000006,570.49299999918,565.450999999747,559.621999999836
"18",1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755
"19",105.18116477229,106.438470273086,106.849584696539,106.902813220368,106.156835140461,109.579926847761,105.475662347452,106.536289234662,110.220384569336,107.265386630003,107.632553540349,112.766858563852,105.481957997583,106.326559904216,108.178462117226,109.312550397875,103.019908457378,110.02446852831,107.21252972138,105.024610029022,102.608092247031,108.345640274134,104.926973609683,105.595258894562,105.671294549233,103.737286690906,106.64545667842,107.483891972996,107.898203120652,109.219564472454,103.134756719772,109.523389976067,107.22464027723,106.567332641975,104.828290056365,101.8015694577,105.806747003831,102.465932055134,104.924178519141,108.050817251952,106.435838948813,104.197351309617,105.013242008487,109.243663697593,112.004951188968,105.868555579028,106.362214407737,105.657116611235,102.469382718671,103.2135414111,104.514740022989,102.61689952548,104.484135661399,107.606013785142,107.781810345252,107.762460979025,108.155975605745,107.687912776797,104.369417965155,102.119225192339,111.091767691915,109.065964167897,108.661157413425,103.112434325149,101.88659065509,104.053734271591,104.623909032676,108.561371889503,104.585474244823,107.37278399384,104.177501194263,103.644755743927,109.652582826305,107.16200854201,102.165260340309,105.839135873409,105.200344552952,102.875826880883,102.285161240955,104.364898406146,104.859688546478,106.183511814731,105.432106360965,106.098727061778,108.202250246799,105.364582252176,104.378382756776,105.964878081366,105.77790309376,106.264954566759,102.586818824573,103.781903542329,107.104260108084,106.12595562818,103.077458668881,101.679975753155,105.436127523288,105.874548162024,105.775540883203,104.10261087347
"20",281.329,313.664000000001,284.215999999997,277.290999999997,293.982000000004,293.313999999998,301.020000000004,288.394,298.411999999997,302.452999999994,299.19200000001,294.240999999995,314.315000000002,294.348999999987,278.846000000005,292.743999999992,290.318999999989,296.558000000019,292.222999999998,301.527999999991,309.972000000009,310.747999999992,298.143999999971,305.142000000022,295.627999999997,299.753999999986,294.629999999976,287.163,278.744000000006,272.274999999994,291.42,298.729,306.632,285.239000000001,294.061999999998,286.813999999998,295.067000000003,301.652999999998,290.740000000005,288.695999999996,299.608,294.398,283.960999999999,314.611999999997,281.696,297.636000000006,301.057000000001,304.402999999998,283.658000000003,275.959000000003,285.828,294.173000000001,307.970000000001,306.812000000002,281.773999999998,284.159999999996,298.903000000006,300.896999999997,281.468000000001,287.395000000004,287.635000000009,298.485000000001,308.767000000007,295.360000000001,277.573999999993,313.907000000007,299.429000000004,284.663,289.399000000005,298.682000000001,333.598999999464,324.598999999464,270.504000000656,327.004000000656,301.836999999359,310.678999999538,315.150000000373,315.012000000104,303.205000000075,336.057999998331,341.349000001326,325.013000000268,336.379999998957,327.599999999627,326.458000000566,320.405999999493,325.334999999031,330.496999999508,330.808000000194,314.588999999687,314.906999999657,320.974999999627,278.092000000179,279.815999999642,299.794999999925,286.85899999924,286.79300000146,270.73399999924,266.127999998629,288.85899999924
