"","MSPE","MSPE1","n","Method"
"119",-3.13646940496248,-3.12821835275336,1500,"Rand(3.0)"
"120",-3.25101267515147,-3.25110750364259,2000,"Rand(3.0)"
"121",-3.33674364874163,-3.34642773445748,2500,"Rand(3.0)"
"122",-3.43085070845438,-3.42431003387316,3000,"Rand(3.0)"
"123",-3.52398509156264,-3.49015857977497,3500,"Rand(3.0)"
"124",-3.5354428623001,-3.54719918476238,4000,"Rand(3.0)"
"125",-3.60065154482966,-3.59751256410372,4500,"Rand(3.0)"
"126",-3.64484788244324,-3.64251941557727,5000,"Rand(3.0)"
"127",-3.68285955429969,-3.68323306508429,5500,"Rand(3.0)"
"128",-3.70588519982456,-3.72040171499295,6000,"Rand(3.0)"
"129",-3.75886164512562,-3.75459355842985,6500,"Rand(3.0)"
"130",-3.77702265697007,-3.78625026089476,7000,"Rand(3.0)"
