"","MSPE","MSPE1","n","Method"
"77",-5.42471250081671,-5.42735322377977,9500,"Rand(1.5)"
"78",-5.45385724919052,-5.45900739556562,10000,"Rand(1.5)"
"79",-4.43521521265971,-4.43810600587612,4000,"Rand(0.5)"
"80",-4.47758768949005,-4.48416945310418,4500,"Rand(0.5)"
"81",-4.5222114845663,-4.52537461075596,5000,"Rand(0.5)"
"82",-4.56877672802831,-4.56264920988008,5500,"Rand(0.5)"
"83",-4.59786484980653,-4.59667825277125,6000,"Rand(0.5)"
"84",-4.6248653390324,-4.62798193772354,6500,"Rand(0.5)"
"85",-4.67086061216488,-4.65696462309464,7000,"Rand(0.5)"
"86",-4.69685334354182,-4.6839468576511,7500,"Rand(0.5)"
"87",-4.71025909450521,-4.70918705243832,8000,"Rand(0.5)"
"88",-4.72674285543334,-4.73289657097977,8500,"Rand(0.5)"
"89",-4.74999066616017,-4.75525049966639,9000,"Rand(0.5)"
"90",-4.77280484168627,-4.77639550225418,9500,"Rand(0.5)"
"91",-4.79202351643871,-4.79645565731817,10000,"Rand(0.5)"
"92",-4.74757958378506,-4.75112761062928,4000,"Rand(1.0)"
"93",-4.80987046778112,-4.81439297724321,4500,"Rand(1.0)"
"94",-4.8684867473545,-4.87098577613465,5000,"Rand(1.0)"
"95",-4.92734034823983,-4.92218018994608,5500,"Rand(1.0)"
"96",-4.96668241906653,-4.96891702801579,6000,"Rand(1.0)"
"97",-5.01150833721946,-5.01191075132677,6500,"Rand(1.0)"
"98",-5.06361826411306,-5.05171672169586,7000,"Rand(1.0)"
"99",-5.10268162887317,-5.08877519352115,7500,"Rand(1.0)"
"100",-5.12603122341112,-5.12344107878837,8000,"Rand(1.0)"
"101",-5.14813209385647,-5.15600467254933,8500,"Rand(1.0)"
"102",-5.18095910817454,-5.1867064454023,9000,"Rand(1.0)"
"103",-5.21352122127052,-5.21574783117061,9500,"Rand(1.0)"
"104",-5.23879407757178,-5.24329924429374,10000,"Rand(1.0)"
"105",-4.74050339331719,-4.75063191783563,4000,"Rand(2.0)"
"106",-4.81699372084819,-4.81805088399605,4500,"Rand(2.0)"
"107",-4.88302410517282,-4.87835920429188,5000,"Rand(2.0)"
"108",-4.93875397763267,-4.93291471605265,5500,"Rand(2.0)"
"109",-4.97384510202489,-4.98271999614366,6000,"Rand(2.0)"
"110",-5.03736811253113,-5.02853641248884,6500,"Rand(2.0)"
"111",-5.07669358192139,-5.07095578841175,7000,"Rand(2.0)"
"112",-5.12324546264052,-5.11044728259992,7500,"Rand(2.0)"
"113",-5.14511915453558,-5.14738910829128,8000,"Rand(2.0)"
"114",-5.1879098967468,-5.18209061945504,8500,"Rand(2.0)"
"115",-5.19663485873184,-5.21480807445171,9000,"Rand(2.0)"
"116",-5.24335040670683,-5.24575613196182,9500,"Rand(2.0)"
"117",-5.27433475791789,-5.27511639474753,10000,"Rand(2.0)"
"118",-4.18540778130757,-4.20101471792863,4000,"Rand(3.0)"
