"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1",1.26765317627223,1.32702290717059,1.35002366478221,1.37063645790056,1.38169558835259,1.38489890965221,1.26856744245477,1.32576355543782,1.35770151641832,1.37007808344133,1.37841304984185,1.38768740115017,1.26888775850191,1.32880263196131,1.35925128932971,1.36998115034592,1.37704048789761,1.38133137012489,1.27765810801762,1.32828524526428,1.35715728471264,1.36837959077256,1.38145894981889,1.38490828950674,1.27131366787551,1.33274275566526,1.35634866936077,1.36608822776957,1.37938419846121,1.38617807903766,1.26652201970383,1.32467493148024,1.36341596519308,1.37113108223966,1.3753449932137,1.38698067314677,1.25987457302165,1.33500189502783,1.35589369112693,1.36804840114833,1.37362040361738,1.38083396836605,1.25625624364229,1.32665509774552,1.35139839390644,1.36575500201409,1.38261423545911,1.38544876900845,1.25967659507619,1.32737429828119,1.35442727010096,1.37182643061435,1.37781230744782,1.38182861501618,1.25849844550992,1.32505018420172,1.35217395157911,1.36652100592341,1.38216555128624,1.38605195938124
"2",1.99503768914316,2.07374270989401,2.10141804499711,2.13193298720062,2.14737590819177,2.15034220956055,1.99793068338955,2.07094446738702,2.11467157398573,2.13148082702792,2.14219116461151,2.15447285976717,1.99862681221186,2.07644682805925,2.11905483258774,2.13123378708357,2.13956832695824,2.1433291859314,2.00926227343778,2.07569110275236,2.11546936123299,2.1274869038157,2.14639170771383,2.14949066271685,2.00057570873734,2.08257937203415,2.1138291415283,2.12452743925619,2.14327001549122,2.15181586448228,1.99355822763513,2.07132927269973,2.12464780538793,2.1323177432976,2.13663118857109,2.15348252407859,1.98271653379233,2.08742835538706,2.11338836911568,2.12773950284439,2.13396347450908,2.14232330419523,1.97543986873882,2.07264960494269,2.1057464480756,2.12443655575585,2.14880326022452,2.15084653988375,1.98173369221514,2.07381924428015,2.10968108983089,2.1345432568119,2.14119363306378,2.14468507724097,1.97941497971084,2.06907458381777,2.10787168703162,2.12464933993738,2.14783536757545,2.15179578685333
"3",2.62459236160355,2.72278678852982,2.75414433675046,2.79381125225994,2.81267652813779,2.81736219412535,2.62917727410027,2.71863041503791,2.77145996510705,2.79361162219686,2.80664072240732,2.82201386862671,2.63120741704866,2.72634314652394,2.77905247215481,2.79313727672321,2.80375994444201,2.80724294040243,2.6388106502659,2.72416345297586,2.77476976176047,2.78771429458872,2.81120692378337,2.81508245731019,2.63159739597303,2.73187013412381,2.77233503361594,2.78484255354774,2.8069208980585,2.81816043441946,2.62280347275685,2.72105454223267,2.78382221282025,2.79365929125009,2.79961252943523,2.82068088849838,2.60835255337979,2.7397207991785,2.77193946323869,2.78859148994469,2.79711197683465,2.80562416574563,2.59896101348905,2.72022696980898,2.76253357260694,2.78521030732804,2.81480403759359,2.81719554850258,2.6082069115629,2.72280487964638,2.76546078148544,2.79701903060818,2.80681328956418,2.80979895398143,2.60441032319065,2.71379475096926,2.7657673262394,2.78401204532206,2.8133385226103,2.81871788246979
"4",3.20449002651165,3.32321747611365,3.35779736960311,3.40599220390286,3.42783872985484,3.43499175984518,3.21075718611641,3.31768008903072,3.3786212491476,3.40603671326668,3.421446788807,3.43977420882938,3.21482388919439,3.32757569440428,3.38923524402798,3.40545814539234,3.41880943574825,3.422261702915,3.21718478327098,3.32333233548977,3.38432336977051,3.39837615435407,3.42606812363913,3.43125185845419,3.212418647573,3.33054364609692,3.38127204876541,3.39623826335296,3.42082417290111,3.43512024203511,3.20232625922892,3.32261691589565,3.3918855319659,3.40531238779637,3.41350055126493,3.43799365009986,3.18486580224627,3.34164250828146,3.38086162165628,3.40010009841647,3.41204776120899,3.41991518738702,3.174850519103,3.31897474723169,3.37049256550797,3.39728052215403,3.43032807960497,3.43397077362206,3.18634693850448,3.32308020997231,3.37158731908327,3.40947521509249,3.42335623132153,3.42599725267079,3.18165168971155,3.30921004410115,3.37483655888703,3.39422961471853,3.42873956080301,3.43604579453631
"5",4.29024354695285,4.45288468227885,4.49396749540061,4.55791250648007,4.58513497940458,4.597166660346,4.30110363528029,4.44480775662557,4.52177751772855,4.55810158357146,4.57859685622234,4.60179501121154,4.30924100422598,4.45885686460269,4.53725522446049,4.55787286929188,4.57664055702794,4.58028481488154,4.30038186760244,4.44975867315593,4.53012230566772,4.54696693045616,4.58289737165472,4.59086155617224,4.29880432195725,4.45428617287223,4.52615716178244,4.54739346261315,4.57703439835872,4.59692797395939,4.28827072732101,4.45534995958849,4.53451347096441,4.55645240261513,4.56929463661063,4.5988363269801,4.26574419678293,4.47153030483604,4.52562200391712,4.550963921646,4.57094087860887,4.57649907820143,4.25759044696725,4.44584055045551,4.5146586856447,4.55015515204173,4.58735674056637,4.59476859162088,4.27059705697196,4.452199715286,4.51194767323695,4.56179136675918,4.58335251336469,4.5858331515822,4.26617646898868,4.42944299253653,4.52071233471391,4.54338924067037,4.58669194635911,4.59757374396481
"6",5.8385007572519,6.07203489541901,6.12077959286382,6.18802561325261,6.17963626502474,6.13056767136049,5.85848686120539,6.06215244768133,6.16098392908642,6.18154556417433,6.16748094045412,6.1115054336446,5.87233381441752,6.08110637736777,6.17772376068038,6.18191204526241,6.16497728921972,6.10692475826273,5.84799232282188,6.06349863284216,6.16646095494026,6.17433981510106,6.16832423547844,6.13483931818974,5.84800176227905,6.0642717572343,6.16008134560766,6.17950833369474,6.16814111005157,6.12638755677498,5.83973656624579,6.07974352827601,6.16750096779573,6.18527944508485,6.17445713675177,6.13676488600075,5.811263402828,6.08767664670988,6.15930042359911,6.17796445701172,6.16828240367506,6.11147077072128,5.81054355320029,6.06316127173606,6.14990372722881,6.1809152555269,6.16742892179714,6.11072234282538,5.82087542943053,6.07146917910437,6.14355243487534,6.18577480506432,6.17802063687944,6.12156516452593,5.81836638045175,6.03796549899075,6.15547393652057,6.17349208553223,6.18046052781256,6.14208698478928
