"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",1.41418637707205,1.42337110143269,1.42435342545921,1.43211824497256,1.41473899032009,1.42192114995397,1.43190027944402,1.43147623710839,1.41487182435908,1.42493713611928,1.43350368616185,1.43141716259235,1.42388577052503,1.42464901355151,1.43158317320323,1.42993693671715,1.41776619931698,1.42914604512174,1.43070160757058,1.42755515059265,1.41271786493557,1.42110031166388,1.43777507164252,1.43256281794965,1.40629951730189,1.43136303292815,1.43021115578592,1.42955589621437,1.40230987018747,1.42297229377203,1.42564337923814,1.42716151405013,1.40582787099523,1.42351163053575,1.42875606525384,1.43331355070768,1.40491490172435,1.42128239293221,1.4264175514227,1.42788430949025
"2",2.20255054720067,2.20966887294334,2.20593714767978,2.21829962508811,2.20506892346392,2.20654692497471,2.21909042781367,2.21775484270621,2.20572460292957,2.21207448083795,2.22357277053735,2.21759114175126,2.21641721216991,2.21151491866163,2.22020432517486,2.21397192155469,2.20796359055626,2.2184240273441,2.21841800800095,2.21088666851386,2.2007454427016,2.2073720630646,2.22925582326038,2.21861426091547,2.19013975935426,2.22335280991963,2.21795916128376,2.21413341081511,2.18224336784775,2.20843990796307,2.21023965577042,2.21073348616847,2.18883662350385,2.2094592881889,2.21422843519016,2.22093096556194,2.18668130886106,2.20464595799556,2.21233272471066,2.21084681056739
"3",2.89502383564113,2.89997123350838,2.89029980839703,2.90630665871435,2.89910521541057,2.89534567931161,2.90754171632102,2.90601689802494,2.90130056879866,2.90314837453037,2.91527079995076,2.90566799785184,2.90879698401332,2.90114356446164,2.91123539974574,2.90036874787552,2.90175878288608,2.90882195978606,2.90858687533288,2.8973461485899,2.89284407488865,2.89841328288649,2.92010180057104,2.90606867396891,2.8786892951567,2.9168619241137,2.90818894784714,2.90111801316529,2.86849638175101,2.89717069505957,2.89872378410569,2.89764572223277,2.87823737722981,2.8996392262124,2.90166958074467,2.90955276238258,2.87448439248379,2.89038023343241,2.90188316263036,2.8963064636569
"4",3.54137519073109,3.54417828727517,3.52759797714533,3.54628874325018,3.54693924396209,3.53802765096424,3.5483728615735,3.54625085562063,3.55137359628027,3.54806768132524,3.55915334840874,3.54584159909278,3.55355906416524,3.54398248046149,3.55450835317212,3.53887157261996,3.54880339276527,3.55111204445455,3.55117998029172,3.53655558356447,3.53867992997222,3.54380679799647,3.56183965815743,3.54550799613708,3.52158104785969,3.56248665222103,3.55077777308304,3.54043152778553,3.51067108198149,3.53962377358176,3.54038260073211,3.53753938187487,3.52282482613205,3.54362780760298,3.54146480186854,3.5498370722491,3.5180806380499,3.52933232953664,3.54459815030617,3.53430517798805
"5",4.77209044699197,4.76979976552074,4.73648901919964,4.75773656248293,4.78177892197947,4.76084133170823,4.76548809491371,4.75761142557294,4.79060911453326,4.77510638166509,4.78065869431046,4.75709919321162,4.78163606144469,4.76611812907112,4.77431105351107,4.74860181057135,4.77962408708818,4.7704967706972,4.7697718374917,4.74860815454239,4.76920573962394,4.77256146505507,4.77753099116624,4.75653223545179,4.74715347513992,4.78806255329936,4.76938259723552,4.74957551149111,4.73814320209997,4.76236752125447,4.7581824163879,4.75069241070647,4.75197598366401,4.76859605804413,4.7553730091234,4.7604160774757,4.74741005772237,4.74506891680023,4.76422649647052,4.74323317877284
"6",6.40814561164342,5.59175287512594,4.79667819235586,4.16601343501142,6.39968146011705,5.56469665621173,4.75795784668564,4.1349546421752,6.40507208391293,5.56346374993448,4.77497711806177,4.14043131179576,6.41156471428569,5.55039724479767,4.78096064037049,4.14455805387714,6.41251713022277,5.54623982791353,4.75214230449718,4.16216060395307,6.41056763124428,5.58595325714654,4.78729347348272,4.20105469828085,6.38838081834809,5.55896649606444,4.7679241118751,4.17148168128542,6.38968987335854,5.55754206314791,4.77664132585141,4.14106963926548,6.39583903811613,5.55892383800088,4.77419928789528,4.15735102607048,6.39379887950257,5.56213617930841,4.78850358637696,4.16488373002825
