"","Edist","RMSPE","Method","theta","k"
"58",0.00437248720278655,0.165268539386035,"DPP","CP1",64
"59",0.00280803128472842,0.129573837946791,"DPP","CP1",100
"60",0.00205106610474428,0.113589900434496,"DPP","CP1",144
"61",0.0013061127844121,0.107018708664359,"DPP","CP1",196
"62",0.000911972657062512,0.102953480663291,"DPP","CP1",289
"63",0.000642895614685257,0.101457715135692,"DPP","CP1",400
"64",0.000555210883314156,0.101080605043092,"DPP","CP1",484
"65",0.00111951624785511,0.216633031541715,"SP","CP2",36
"66",0.000472120222509567,0.151411704446904,"SP","CP2",64
"67",0.000246124254213381,0.122430039188948,"SP","CP2",100
"68",0.000147113110553272,0.109414106434702,"SP","CP2",144
"69",9.57040097198381e-05,0.104483961529647,"SP","CP2",196
"70",5.94771045456355e-05,0.101817067597771,"SP","CP2",289
"71",4.103228931157e-05,0.100972191694216,"SP","CP2",400
"72",3.4294475133142e-05,0.100845162424076,"SP","CP2",484
"73",0.0141211751017953,0.252681558247454,"Grid","CP2",36
"74",0.0076123082324567,0.173866863773662,"Grid","CP2",64
"75",0.00459842679157185,0.137225457719964,"Grid","CP2",100
"76",0.00340109471312976,0.119376884769367,"Grid","CP2",144
"77",0.00228726597610615,0.110433918633971,"Grid","CP2",196
"78",0.00162191767794313,0.104800591685424,"Grid","CP2",289
"79",0.0011493614501246,0.10242641586606,"Grid","CP2",400
"80",0.000955148169434966,0.101619062972558,"Grid","CP2",484
"81",0.00570681184428195,0.236429745371399,"Rand","CP2",36
"82",0.0031767991821796,0.16716472003063,"Rand","CP2",64
"83",0.00204742656056196,0.132685920333763,"Rand","CP2",100
"84",0.00143899054468251,0.115906712874167,"Rand","CP2",144
"85",0.00108065460318724,0.108297578525345,"Rand","CP2",196
"86",0.000757555787637458,0.103443871988591,"Rand","CP2",289
"87",0.000572587935633858,0.101741165270668,"Rand","CP2",400
"88",0.000486558339290317,0.101250524400387,"Rand","CP2",484
"89",0.00835631529141416,0.235228577913816,"DPP","CP2",36
"90",0.00437248720278655,0.161701645780784,"DPP","CP2",64
"91",0.00280803128472842,0.128495783583799,"DPP","CP2",100
"92",0.00205106610474428,0.113801446691316,"DPP","CP2",144
"93",0.0013061127844121,0.106794639942712,"DPP","CP2",196
"94",0.000911972657062512,0.102782242461683,"DPP","CP2",289
"95",0.000642895614685257,0.10147115386611,"DPP","CP2",400
"96",0.000555210883314156,0.101028165137875,"DPP","CP2",484
