"","Edist","RMSPE","Method","nu","k"
"38",6.12283598829555e-05,0.109278362072766,"SP","1.0",289
"39",4.12848240249108e-05,0.110801308527981,"SP","1.0",400
"40",3.43998163643011e-05,0.11179719803884,"SP","1.0",484
"41",0.00570681184428195,0.267997566111149,"Grid","1.0",36
"42",0.0031767991821796,0.18889417703616,"Grid","1.0",64
"43",0.00204742656056196,0.148107269136201,"Grid","1.0",100
"44",0.00143899054468251,0.127319656652525,"Grid","1.0",144
"45",0.00108065460318724,0.11798999652786,"Grid","1.0",196
"46",0.000757555787637458,0.113126541652728,"Grid","1.0",289
"47",0.000572587935633858,0.112430046703837,"Grid","1.0",400
"48",0.000486558339290317,0.112791539289963,"Grid","1.0",484
"49",0.0141211751017953,0.288564605297472,"Rand","1.0",36
"50",0.0076123082324567,0.19543106368801,"Rand","1.0",64
"51",0.00459842679157185,0.150044319090264,"Rand","1.0",100
"52",0.00340109471312976,0.12871731772746,"Rand","1.0",144
"53",0.00228726597610615,0.117888252742486,"Rand","1.0",196
"54",0.00162191767794313,0.112075777022574,"Rand","1.0",289
"55",0.0011493614501246,0.110445331048942,"Rand","1.0",400
"56",0.000955148169434966,0.110470225832933,"Rand","1.0",484
"57",0.00835631529141416,0.260887265684545,"DPP","1.0",36
"58",0.00437248720278655,0.176479495185742,"DPP","1.0",64
"59",0.00280803128472842,0.137958219083048,"DPP","1.0",100
"60",0.00205106610474428,0.120622330634788,"DPP","1.0",144
"61",0.0013061127844121,0.113023058843006,"DPP","1.0",196
"62",0.000911972657062512,0.109543975537369,"DPP","1.0",289
"63",0.000642895614685257,0.110071263596695,"DPP","1.0",400
"64",0.000555210883314156,0.110696639696265,"DPP","1.0",484
"65",0.00111934557422163,0.217362968604677,"SP","1.5",36
"66",0.000474503566415464,0.15113963766414,"SP","1.5",64
"67",0.000246247253202212,0.122489213175024,"SP","1.5",100
"68",0.000147304295800037,0.109384329824845,"SP","1.5",144
"69",9.60864724558164e-05,0.10450452789534,"SP","1.5",196
"70",6.12283598829555e-05,0.101823300660556,"SP","1.5",289
"71",4.12848240249108e-05,0.101006380944454,"SP","1.5",400
"72",3.43998163643011e-05,0.100843603299731,"SP","1.5",484
"73",0.00570681184428195,0.239786439240501,"Grid","1.5",36
"74",0.0031767991821796,0.16879841034419,"Grid","1.5",64
"75",0.00204742656056196,0.13353462329628,"Grid","1.5",100
"76",0.00143899054468251,0.116354850816852,"Grid","1.5",144
"77",0.00108065460318724,0.108543418516763,"Grid","1.5",196
"78",0.000757555787637458,0.103559106265267,"Grid","1.5",289
"79",0.000572587935633858,0.101795361662327,"Grid","1.5",400
"80",0.000486558339290317,0.101286080648536,"Grid","1.5",484
"81",0.0141211751017953,0.256485939643375,"Rand","1.5",36
"82",0.0076123082324567,0.175346372707977,"Rand","1.5",64
"83",0.00459842679157185,0.137853969715813,"Rand","1.5",100
"84",0.00340109471312976,0.119777212361908,"Rand","1.5",144
"85",0.00228726597610615,0.11066266914952,"Rand","1.5",196
"86",0.00162191767794313,0.104917365321403,"Rand","1.5",289
"87",0.0011493614501246,0.102474466082185,"Rand","1.5",400
"88",0.000955148169434966,0.101645519678578,"Rand","1.5",484
"89",0.00835631529141416,0.238288373405626,"DPP","1.5",36
"90",0.00437248720278655,0.162326642068392,"DPP","1.5",64
"91",0.00280803128472842,0.128844305402982,"DPP","1.5",100
"92",0.00205106610474428,0.113106754723754,"DPP","1.5",144
"93",0.0013061127844121,0.106802798334092,"DPP","1.5",196
"94",0.000911972657062512,0.102881894070388,"DPP","1.5",289
"95",0.000642895614685257,0.101385392470244,"DPP","1.5",400
"96",0.000555210883314156,0.10102519016468,"DPP","1.5",484
"97",0.00111934557422163,0.213038520531888,"SP","2.0",36
"98",0.000474503566415464,0.149507129355579,"SP","2.0",64
"99",0.000246247253202212,0.12557248802253,"SP","2.0",100
"100",0.000147304295800037,0.116531378254596,"SP","2.0",144
"101",9.60864724558164e-05,0.113593213382208,"SP","2.0",196
"102",6.12283598829555e-05,0.112089829702669,"SP","2.0",289
"103",4.12848240249108e-05,0.111634509693215,"SP","2.0",400
"104",3.43998163643011e-05,0.111535357745293,"SP","2.0",484
"105",0.00570681184428195,0.224871800777855,"Grid","2.0",36
"106",0.0031767991821796,0.161095130319375,"Grid","2.0",64
"107",0.00204742656056196,0.132824008705869,"Grid","2.0",100
"108",0.00143899054468251,0.121023947803097,"Grid","2.0",144
"109",0.00108065460318724,0.116168792544022,"Grid","2.0",196
"110",0.000757555787637458,0.113203353773464,"Grid","2.0",289
"111",0.000572587935633858,0.112189352573268,"Grid","2.0",400
"112",0.000486558339290317,0.111860113345237,"Grid","2.0",484
"113",0.0141211751017953,0.239683471308737,"Rand","2.0",36
"114",0.0076123082324567,0.168489811466508,"Rand","2.0",64
"115",0.00459842679157185,0.137662814504128,"Rand","2.0",100
"116",0.00340109471312976,0.123993910705401,"Rand","2.0",144
"117",0.00228726597610615,0.117726655132647,"Rand","2.0",196
"118",0.00162191767794313,0.114024182666131,"Rand","2.0",289
"119",0.0011493614501246,0.112542395002156,"Rand","2.0",400
"120",0.000955148169434966,0.112074021024711,"Rand","2.0",484
"121",0.00835631529141416,0.222299779256148,"DPP","2.0",36
"122",0.00437248720278655,0.157281335661452,"DPP","2.0",64
"123",0.00280803128472842,0.129996470516602,"DPP","2.0",100
